,Entity,Frequency
0,two CLL,30
1,two AV MCL,1
2,CLL,2305
3,AstraZeneca Calquence CLL,13
4,England Wales More,1
5,AstraZeneca Calquence,123
6,Superstar NICE CLL,1
7,CLL Ibrutinib yesterday UK Pirtobrutinib CllSociety,1
8,Optimal Management CLL Acalabrutinib nineteen March two thousand and one Subramanian Mumbai two Group Dr Harshit Khurana Advani,1
9,CLL,2305
10,today Thursday March The National Institute Health Care Excellence NICE CLL England,1
11,rituximab FCR rituximab BR,1
12,today Thursday eighteen March two thousand,1
13,AstraZeneca Calquence CLL,13
14,AstraZeneca Calquence CLL,13
15,AstraZeneca Calquence CLL,13
16,AstraZeneca Calquence CLL,13
17,PharmiwebNews,1
18,UK CLL Ireland JanRynne DonnellyStephen HSELive hseNCCP paulreiddublin PaulMcauliffe RoisinShortall,1
19,NICEComms AstraZeneca Calquence DaiichiSankyo Nilemdo Nustendi,1
20,NICEComms CLL UK FCR BR CLL Enjoyed CLLSupport Chair Trustees Auckland Sky News Great CLL,1
21,one Study,1
22,michaelwangmd MDAndersonNews,1
23,CLL,2305
24,TwitterSupport one,1
25,ICYMI TiP,1
26,Argentina one Janssen Vaccines two three AstraZeneca AB four Amgen Lanadelumab de cenicriviroc,1
27,Maria four FDA two thousand and thirteen Ibrutinib FDA two thousand and seventeen FDA two thousand and twenty Brexucarbatagene Autoleucel FDA,1
28,BTK Ublituximab Ibrutinib TGTherapeutics,1
29,primario de eficacia en,1
30,US AstraZeneca Calquence AZN,1
31,ICYMI Overall three,1
32,CLL Research Acalabrutinib An Analysis Cardiovascular Events,1
33,Mantle Cell Lymphoma Survival Likely Affected Reason Acalabrutinib Discontinuation,1
34,CALQUENCE Beneficial CLL Study CLL,1
35,gvhdsm chronicGVHD StephanieLeeMD Number,1
36,Mantle Cell Lymphoma Treatment Market two thousand and two thousand,1
37,CLL,2305
38,twenty thousand National Centre Pharmacoeconomics,1
39,Lesen Sie Beitrag Arzt Schmerz Leukamie Immuntherapie Neutropenie Mutation Acalabrutinib Zulassung Studie,1
40,Dr Danilov CLL MedTwitter Healthcare,1
41,Dr Graff MercyOneDSM CLL recent year Calquence AstraZeneca Watch,1
42,AstraZeneca Calquence Meets Primary Efficacy,1
43,Japan Lyfebulb,1
44,AstraZeneca Imbruvica,16
45,three AstraZeneca,1
46,AstraZeneca Imbruvica,16
47,AstraZeneca Imbruvica,16
48,AstraZeneca Imbruvica,16
49,AstraZeneca Imbruvica,16
50,AstraZeneca Imbruvica,16
51,PFS three CLL,1
52,AMMHemato un nouveau chez Leucemie Lymphoide Chronique Retrouvez,1
53,two,75
54,CLL,2305
55,CLL,2305
56,Five Tuesday January two thousand Roundup MM Medical Marketing Media BoosterShot Calquence Merck MMMnews CNBC,1
57,AstraZeneca Calquence Johnson Johnson BTK Imbruvica three,2
58,AstraZeneca Calquence Johnson Johnson BTK Imbruvica three,2
59,CALQUENCE met Primary Efficacy Endpoint Trial Against Ibrutinib Chronic,1
60,Calquence Imbruvica AstraZeneca,1
61,The European Medicines Agency Review Acalabrutinib Treatment Adult Patients Chronic CLL,1
62,Japan,6
63,CALQUENCE Met Primary Efficacy Endpoint Trial Against Ibrutinib,1
64,Calquence Japan,2
65,Imbruvica,15
66,Calquence Ibrutinib ChronicLymphocyticLeukaemia,1
67,testa testa contro nella linfocitica,2
68,CLL,2305
69,AstraZeneca Calquence Imbruvica,8
70,Monday Quick Takes Comirnaty Australia Hong Kong Albireo Iterum Calquence meet Phase three CLL,1
71,Three year first Calquence second BTK AstraZeneca AbbVie first Imbruvica,1
72,AstraZeneca Imbruvica BioPharma Dive Oncology,1
73,Japan CLL,3
74,AstraZeneca Calquence Imbruvica,8
75,Jain American Journal Hematology,1
76,Japan,6
77,testa testa contro nella linfocitica,2
78,three CLL,26
79,CALQUENCE Met Primary BrainSights,1
80,AstraZeneca Calquence Imbruvica,8
81,AstraZeneca Calquence Imbruvica,8
82,AstraZeneca Imbruvica AZN ABBV JNJ,1
83,AstraZeneca Calquence Johnson Johnson Imbruvica AZN JNJ,1
84,AstraZeneca Imbruvica,16
85,AstraZeneca Calquence Imbruvica,8
86,AstraZeneca Calquence Imbruvica,8
87,Calquence Imbruvica,2
88,AstraZeneca Calquence Approved Japan CLL,1
