,entity,author_name,overall_polarity
0,two CLL,Hematopoiesis News,Negative
1,two AV MCL,Michael Wang MD,Negative
3,CLL,Toby Eyre,Postive
5,AstraZeneca Calquence CLL,David Ledger,Postive
6,England Wales More,Wales Cancer Forum,Negative
7,AstraZeneca Calquence,European Pharmaceutical Review,Negative
8,Superstar NICE CLL,Graham Collins,Postive
9,CLL Ibrutinib yesterday UK Pirtobrutinib CllSociety,CLL Ireland,Negative
10,Optimal Management CLL Acalabrutinib nineteen March two thousand and one Subramanian Mumbai two Group Dr Harshit Khurana Advani,Mice Ideas,Negative
11,CLL,Farooq Wandroo,Postive
12,today Thursday March The National Institute Health Care Excellence NICE CLL England,Leukaemia Care,Postive
13,rituximab FCR rituximab BR,Helen Oram,Postive
14,today Thursday eighteen March two thousand,HealthWatch,Negative
16,AstraZeneca Calquence CLL,Pharma Trader,Postive
17,AstraZeneca Calquence CLL,Everything Pharma,Postive
18,AstraZeneca Calquence CLL,IJPSonline,Postive
19,AstraZeneca Calquence CLL,Iceberg Vision,Postive
22,PharmiwebNews,Pharma News,Postive
23,UK CLL Ireland JanRynne DonnellyStephen HSELive hseNCCP paulreiddublin PaulMcauliffe RoisinShortall,CLL Ireland,Negative
24,NICEComms AstraZeneca Calquence DaiichiSankyo Nilemdo Nustendi,pharmaphorum,Negative
25,NICEComms CLL UK FCR BR CLL Enjoyed CLLSupport Chair Trustees Auckland Sky News Great CLL,Toby Eyre,Postive
26,one Study,Lymphoma Papers,Negative
28,michaelwangmd MDAndersonNews,Lymphoma Hub,Negative
29,CLL,Trip Database,Negative
30,TwitterSupport one,Osgood,Postive
33,ICYMI TiP,Kartos Therapeutics,Negative
34,Argentina one Janssen Vaccines two three AstraZeneca AB four Amgen Lanadelumab de cenicriviroc,Apoli Naria,Negative
35,Maria four FDA two thousand and thirteen Ibrutinib FDA two thousand and seventeen FDA two thousand and twenty Brexucarbatagene Autoleucel FDA,Michael Wang MD,Postive
41,BTK Ublituximab Ibrutinib TGTherapeutics,Jeff Sharman,Postive
43,primario de eficacia en,IM Medico,Negative
44,US AstraZeneca Calquence AZN,FirstWord Pharma,Postive
45,ICYMI Overall three,Home Journal,Negative
46,CLL Research Acalabrutinib An Analysis Cardiovascular Events,Tom Henry MBA RPh CPh,Negative
49,Mantle Cell Lymphoma Survival Likely Affected Reason Acalabrutinib Discontinuation,AJMC,Negative
50,CALQUENCE Beneficial CLL Study CLL,Patient Worthy,Negative
53,gvhdsm chronicGVHD StephanieLeeMD Number,Hemalatha Rangarajan MD,Negative
54,Mantle Cell Lymphoma Treatment Market two thousand and two thousand,mednetnews,Negative
55,CLL,Bita Fakhri,Negative
56,twenty thousand National Centre Pharmacoeconomics,NCPE,Negative
57,Lesen Sie Beitrag Arzt Schmerz Leukamie Immuntherapie Neutropenie Mutation Acalabrutinib Zulassung Studie,JOURNAL ONKOLOGIE,Negative
58,Dr Danilov CLL MedTwitter Healthcare,Oncology Learning Network,Negative
59,Dr Graff MercyOneDSM CLL recent year Calquence AstraZeneca Watch,Oncology Learning Network,Negative
62,AstraZeneca Calquence Meets Primary Efficacy,TrialSite News,Negative
64,Japan Lyfebulb,Lyfebulb,Negative
66,AstraZeneca Imbruvica,The Medical Ed Cons,Negative
67,three AstraZeneca,Home Journal,Negative
68,AstraZeneca Imbruvica,CarnivoresHealth,Negative
69,AstraZeneca Imbruvica,Portfolio Penny,Negative
70,AstraZeneca Imbruvica,FancyFinancy,Negative
71,AstraZeneca Imbruvica,Robo Schmobo,Negative
72,AstraZeneca Imbruvica,Financial Carnivores,Negative
73,PFS three CLL,Lymphoma Hub,Negative
74,AMMHemato un nouveau chez Leucemie Lymphoide Chronique Retrouvez,NetCancer,Negative
75,two,DMGAZ,Negative
77,CLL,Blood Advances,Negative
82,Five Tuesday January two thousand Roundup MM Medical Marketing Media BoosterShot Calquence Merck MMMnews CNBC,AnalySource Premier Drug Pricing Services,Negative
83,AstraZeneca Calquence Johnson Johnson BTK Imbruvica three,Helix BioPharma,Negative
84,AstraZeneca Calquence Johnson Johnson BTK Imbruvica three,AlphaBronze,Negative
85,CALQUENCE met Primary Efficacy Endpoint Trial Against Ibrutinib Chronic,TrialSite News,Negative
86,Calquence Imbruvica AstraZeneca,Plexus Ventures,Negative
89,Japan,BiopharmaAsia,Negative
94,testa testa contro nella linfocitica,Roberto Bonin,Negative
95,CLL,Taro Shiga,Negative
96,AstraZeneca Calquence Imbruvica,Susan,Postive
97,Monday Quick Takes Comirnaty Australia Hong Kong Albireo Iterum Calquence meet Phase three CLL,BioCentury,Negative
98,Three year first Calquence second BTK AstraZeneca AbbVie first Imbruvica,Endpoints News,Negative
99,AstraZeneca Imbruvica BioPharma Dive Oncology,Pharma Top News,Negative
101,AstraZeneca Calquence Imbruvica,FiercePharma,Postive
102,Jain American Journal Hematology,Benlazar Amine,Negative
103,Japan,WebWire,Negative
104,testa testa contro nella linfocitica,Tecnomedicina,Negative
105,three CLL,HemOnc Today,Postive
106,CALQUENCE Met Primary BrainSights,BrainSights iOS App,Negative
107,AstraZeneca Calquence Imbruvica,Dr Timos Papagatsias,Postive
108,AstraZeneca Calquence Imbruvica,NewExpressNews,Postive
109,AstraZeneca Imbruvica AZN ABBV JNJ,BioPharma Dive,Negative
110,AstraZeneca Calquence Johnson Johnson Imbruvica AZN JNJ,Market Intelligence Healthcare,Negative
111,AstraZeneca Imbruvica,Ben Fidler,Negative
112,AstraZeneca Calquence Imbruvica,PharmaBian Ji Chang ,Postive
114,Calquence Imbruvica,cafepharma,Negative
115,AstraZeneca Calquence Approved Japan CLL,Calgary Herald,Negative
116,Three year first Calquence second BTK AstraZeneca AbbVie first Imbruvica Jasonmmast,Endpoints News,Negative
117,Imbruvica,David Ledger,Negative
118,CLL,Biotech Tech Stock Focus,Postive
119,AstraZeneca Calquence Imbruvica Eli Lilly,Dr Timos Papagatsias,Postive
120,AZN CALQUENCE Met Primary Efficacy Endpoint Trial Against,Corporate News,Negative
121,AstraZeneca Calquence Imbruvica Eli Lilly,PharmaBian Ji Chang ,Postive
123,Calquence Japan,InvestorsObserver,Negative
124,Calquence Approved Japan CLL,Devdiscourse,Negative
126,AstraZeneca Calquence,CHItraders,Postive
